ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,GLOSS,ETYMO,CDIAL,JAMBU
text = sarvata vijitamhi Devānaṃpriyasa Piyadasino rāño / evamapi pracaṃtesu yathā Coḍa Pāḍā Satiyaputo Ketalaputo ā Taṃba/paṃṇī Aṃtiyako Yona-rājā ye va pi tasa Aṃtiy[a]kas[a] sāmīp[aṃ] / rājāno sarvatra Devānaṃpriyasa Priyadasino rāño dve cikīcha katā / manusa-cīkichā ca pasu-cikīchā ca,,,,,,,,,,,,,
1,sarvata,sarvata,ADV,_,AdvType=Loc,35,advmod:lmod,_,Gloss=everywhere,,,,_
2,vijitamhi,vijita,NOUN,_,Case=Loc|Gender=Masc|Number=Sing,1,obl,_,Gloss=in-the-dominion,,,,_
3-4,Devānaṃpriyasa,_,_,_,_,_,_,_,_,,,,_
3,devānaṃ,deva,NOUN,_,Case=Gen|Gender=Masc|Number=Plur,4,nmod:poss,_,Gloss=Devānam,,,,_
4,priyasa,priya,ADJ,_,Case=Gen|Gender=Masc|Number=Sing,7,nmod:desc,_,Gloss=Priya,,,,_
5-6,Piyadasino,_,_,_,_,_,_,_,_,,,,_
5,piya ,piya,ADJ,_,Compound=Yes|Gender=Masc,6,amod,_,Gloss=Priya,,,,_
6,dasino,dasin,ADJ,_,Case=Gen|Gender=Masc|Number=Sing,7,nmod:desc,_,Gloss=Darśin,,,,_
7,rāño,rājan,NOUN,_,Case=Gen|Gender=Masc|Number=Sing,2,nmod:poss,_,Gloss=of-king,,,,_
8-9,evamapi,_,_,_,_,_,_,_,Gloss=likewise,,,,_
8,evam ,evam,ADV,_,_,9,advmod,_,_,,,,
9,api,api,ADV,_,_,9,advmod,_,_,,,,
10,pracaṃtesu,pracaṃta,NOUN,_,Case=Loc|Gender=Masc|Number=Plur,2,obl,_,Gloss=among-borderers,,,,_
11,yathā,,ADJ,_,,12,case,_,Gloss=such-as,,,,_
12,Coḍa,Coḍa,PROPN,_,Case=Nom|Gender=Masc|Number=Plur,9,nmod ,_,Gloss=Coḍa,,,,_
13,Pāḍā,Pāḍa,PROPN,_,Case=Nom|Gender=Masc|Number=Plur,12,conj,_,Gloss=Pāṇḍya,,,,_
14,Satiyaputo,Satiyaputa,PROPN,_,Case=Nom|Gender=Masc|Number=Sing,12,conj,_,Gloss=Satiyaputa,,,,_
15,Ketalaputo,Ketalaputa,PROPN,_,Case=Nom|Gender=Masc|Number=Sing,12,conj,_,Gloss=Ketalaputa,,,,_
16,ā,ā,ADP,_,_,17,case,_,Gloss=as-far-as,,,,_
17,Taṃbapaṃṇī,Taṃbapaṃṇin,PROPN,_,Case=Nom|Gender=Masc|Number=Sing,12,conj,_,Gloss=Tāmraparṇī,,,,_
18,Aṃtiyako,Aṃtiyaka,PROPN,_,Case=Nom|Gender=Masc|Number=Sing,12,conj,_,Gloss=Antiyaka,,,,_
19-20,Yona-rājā,_,_,_,_,_,_,_,_,,,,
19,yona  ,yona,ADJ,_,Gender=Masc|Compound=Yes,20,amod,_,Gloss=Yona ,,,,_
20,rājā,rājan,NOUN,_,Case=Nom|Gender=Masc|Number=Sing,18,compound,_,Gloss=king,,,,_
21,ye,ya ,PRON,_,_,27,nsubj,_,Gloss=who,,,,_
22,vā,vā,PART,_,_,22,advmod:emph,_,Gloss=indeed,,,,_
23,pi,pi,PART,_,_,22,advmod:emph,_,Gloss=also,,,,_
24,tasa,ta ,DET,_,Case=Gen ,25,det,_,Gloss=of-this,,,,_
25,Aṃtiyakasa,Aṃtiyaka,PROPN,_,Case=Gen|Gender=Masc|Number=Sing,27,nmod:poss,_,Gloss=of-Antiyaka|Orig=Aṃtiy[a]kas[a],,,,_
26,sāmīpaṃ,sāmīpa,ADJ,_,,28,acl:relcl,_,Gloss=neighbour|Orig=sāmīp[aṃ],,,,_
27,rājāno,rājan,NOUN,_,Case=Nom|Gender=Masc|Number=Plural,12,conj,_,Gloss=kings,,,,_
28,sarvatra,sarvatra ,NOUN,_,AdvType=Loc,36,advmod:lmod,_,Gloss=everywhere,,,,_
29-30,Devānaṃpriyasa,_,_,_,_,_,_,_,_,,,,
29,devānaṃ,deva,NOUN,_,Case=Gen|Gender=Masc|Number=Plur,30,nmod:poss,_,Gloss=Devānam,,,,_
30,priyasa,priya,ADJ,_,Case=Gen|Gender=Masc|Number=Sing,33,nmod:desc,_,Gloss=Priya,,,,_
31-32,Priyadasino,_,_,_,_,_,_,_,_,,,,
31,priya,priya,ADJ,_,Gender=Masc|Compound=Yes,32,amod,_,Gloss=Priya,,,,_
32,dasino,dasin,ADJ,_,Case=Gen|Gender=Masc|Number=Sing,33,nmod:desc,_,Gloss=Darśin,,,,_
33,rāño,rājan,NOUN,_,Case=Gen|Gender=Masc|Number=Sing,36,nsubj,_,Gloss=king,,,,_
34,dve,dva,NUM,_,NumType=Card,35,nummod,_,Gloss=two,,,,_
35,cikīcha,cikīcha,NOUN,_,Case=Acc|Gender=Masc|Number=Sing,36,obj,_,Gloss=medical-treatment,,,,_
36,katā,karo,VERB,_,Case=Nom|Gender=Neut|Number=Plur|Voice=Pass|Tense=Past|,0,root,_,Gloss=were-established,,,,_
37-38,manusa-cīkichā,_,_,_,_,_,,_,_,,,,
37,manusa  ,manusa,NOUN,_,Gender=Masc|Compound=Yes,38,nmod,_,Gloss=man,,,,_
38,cīkichā,cīkicha,NOUN,_,Case=Acc|Gender=Masc|Number=Plur,36,appos,_,Gloss=medical-treatment,,,,_
