ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,GLOSS,ETYMO,CDIAL,JAMBU
text = sav[r]atra vijite [De]va[naṃ]priyasa Priyadraśisa y[e] ca [a]ṃta yathā [Coḍa] Paṃḍiya Satiyaputro Keraḍaputro Taṃbapaṃṇī Aṃtiyo[k]o nāma Yona-raja ye ca aṃñe tasa Aṃtiyokasa samaṃta rajano savratra Devanaṃpriyasa Priyadraśisa raño du[vi] cik[i]sa [kr]i[ṭa] manusa-cikisa .. pa[śu-c]ikisa [ca],,,,,,,,,,,,,
1,savratra,savratra,ADV,,AdvType=Loc,36,advmod:lmod,,Orig=sav[r]atra,,,,
2,vijite,vijita,NOUN,,Case=Loc|Gender=Masc|Number=Sing,1,obl,,,,,,
3-4,Devanaṃpriyasa,,_,,_,,,,Orig=[De]va[naṃ]priyasa,,,,
3,devanaṃ,deva,NOUN,,Case=Gen|Gender=Masc|Number=Plur,4,nmod,,,,,,
4,priyasa,priya,ADJ,,Case=Gen|Gender=Masc|Number=Sing,6,nmod:desc,,,,,,
5-6,Priyadraśisa,,_,,_,,,,,,,,
5,priya,priya,ADJ,,Compound=Yes|Gender=Masc,6,amod,,,,,,
6,draśisa,draśin,ADJ,,Case=Gen|Gender=Masc|Number=Sing,2,nmod,,,,,,
7,ye,yad,PRON,,PronType=Rel,9,nsubj,,Orig=y[e],,,,
8,ca,ca,CCONJ,,_,7,cc,,,,,,
9,aṃta,aṃta,NOUN,,Case=Nom|Gender=Masc|Number=Plur,2,conj,,Orig=[a]ṃta,,,,
10,yathā,yathā,PART,,_,11,case,,,,,,
11,Coḍa,Coḍa,PROPN,,Case=Nom|Gender=Masc|Number=Plur,9,nmod,,Orig=[Coḍa],,,,
12,Paṃḍiya,Paṃḍiya,PROPN,,Case=Nom|Gender=Masc|Number=Plur,11,conj,,,,,,
13,Satiyaputro,Satiyaputra,PROPN,,Case=Nom|Gender=Masc|Number=Sing,11,conj,,,,,,
14,Keraḍaputro,Keraḍaputra,PROPN,,Case=Nom|Gender=Masc|Number=Sing,11,conj,,,,,,
15,Taṃbapaṃṇī,Taṃbapaṃṇin,PROPN,,Case=Nom|Gender=Masc|Number=Sing,11,conj,,,,,,
16,Aṃtiyoko,Aṃtiyoka,PROPN,,Case=Nom|Gender=Masc|Number=Sing,17,appos,,Orig=Aṃtiyo[k]o,,,,
17,nāma,nāma,NOUN,,Case=Nom|Gender=Masc|Number=Sing,20,nmod,,,,,,
18,Yonaraja,,,,_,,,,,,,,
19,yona,yona,PROPN,,Compound=Yes|Gender=Masc,20,amod,,,,,,
20,raja,rajan,NOUN,,Case=Nom|Gender=Masc|Number=Sing,11,conj,,,,,,
21,ye,yad,PRON,,PronType=Rel,27,nsubj,,,,,,
22,ca,ca,CCONJ,,_,21,cc,,,,,,
23,aṃñe,aṃña,ADJ,,Case=Loc|Gender=Masc|Number=Sing,27,amod,,,,,,
24,tasa,tad,PRON,,PronType=Dem|Case=Gen|Number=Sing,25,det,,,,,,
25,Aṃtiyokasa,Aṃtiyoka,PROPN,,Case=Gen|Gender=Masc|Number=Sing,26,nmod,,,,,,
26,samaṃta,samaṃta,NOUN,,Case=Nom|Gender=Masc|Number=Plur,27,acl:relcl,,,,,,
27,rajano,raja,NOUN,,Case=Nom|Gender=Masc|Number=Plur,2,conj,,,,,,
28,savratra,savratra,ADV,,AdvType=Loc,36,advmod:lmod,,,,,,
29-30,Devanaṃpriyasa,,,,_,,,,,,,,
29,devanaṃ,deva,NOUN,,Case=Gen|Gender=Masc|Number=Plur,30,nmod,,,,,,
30,priyasa,priya,ADJ,,Case=Gen|Gender=Masc|Number=Sing,33,nmod:desc,,,,,,
31-32,Priyadraśisa,,,,_,,,,,,,,
31,priya,priya,ADJ,,Compound=Yes|Gender=Masc,32,amod,,,,,,
32,draśisa,draśin,ADJ,,Case=Gen|Gender=Masc|Number=Sing,33,nmod:desc,,,,,,
33,raño,rayan,NOUN,,Case=Gen|Gender=Masc|Number=Sing,36,nsubj,,,,,,
34,duvi,duva,NUM,,NumType=Card,35,nummod,,Orig=du[vi],,,,
35,cikisa,cikisa,NOUN,,Case=Nom|Gender=Fem|Number=Plur,36,obj,,Orig=cik[i]sa,,,,
36,kriṭa,karo,VERB,,Case=Nom|Gender=Fem|Number=Plur|Voice=Pass|Tense=Past|VerbForm=Part|Voice=Pass,0,root,,Orig=[kr]i[ṭa],,,,
37-38,manusa-cikisa,,,,_,,,,,,,,
37,manusa,manusa,NOUN,,Compound=Yes|Gender=Masc,38,nmod,,,,,,
38,cikisa,cikisa,NOUN,,Case=Nom|Gender=Fem|Number=Plur,35,appos,,,,,,
39,...,,X,,_,38,orphan,,,,,,
40-41,paśu-cikisa,,,,_,,,,Orig=pa[śu-c]ikisa,,,,
40,paśu,paśu,NOUN,,Compound=Yes|Gender=Masc,41,nmod,,Orig=pa[śu],,,,
41,cikisa,cikisa,NOUN,,Case=Nom|Gender=Fem|Number=Plur,38,conj,,Orig=[c]ikisa,,,,
42,ca,ca,CCONJ,,_,41,cc,,Orig=[ca],,,,
,,,,,,,,,,,,,
text = [o]śa[ḍha]ni manuśopakani ca paśopakani ca yat[r]a yatra nāsti savatra harapita ca vuta ca,,,,,,,,,,,,,
1,ośaḍhani,ośaḍha,NOUN,,Case=Nom|Gender=Neut|Number=Plur,10,nsubj,,Orig=[o]śa[ḍha]ni,,,,
2-3,manuśopakani,,_,,_,,,,,,,,
2,manuśa,manuśa,NOUN,,Compound=Yes|Gender=Masc,3,nmod,,,,,,
3,upakani,upaka,ADJ,,Case=Nom|Number=Plur|Gender=Neut,1,amod,,,,,,
4,ca,ca,CCONJ,,_,3,cc,,,,,,
5-6,paśopakani,,_,,_,,,,,,,,
5,paśu,paśu,NOUN,,Compound=Yes|Gender=Masc,6,nmod,,,,,,
6,upakani,upaka,ADJ,,Case=Nom|Number=Plur|Gender=Neut,3,conj,,,,,,
7,ca,ca,CCONJ,,_,6,cc,,,,,,
8,yatra,yatra,SCONJ,,PronType=Rel,10,mark,,Orig=yat[r]a,,,,
9,yatra,yatra,SCONJ,,PronType=Rel,8,compound:redup,,,,,,
10,nāsti,nās,VERB,,Tense=Pres|VerbForm=Fin|Voice=Act|Number=Sing|Person=3,12,advcl,,,,,,
11,savatra,savatra,ADV,,AdvType=Loc,12,advmod:lmod,,,,,,
12,harapita,harapaya,VERB,,"Case=Nom|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Cau,Pass",0,root,,,,,,
13,ca,ca,CCONJ,,_,12,cc,,,,,,
14,vuta,vapa,VERB,,Case=Nom|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,12,conj,,,,,,
15,ca,ca,CCONJ,,_,15,cc,,,,,,
,,,,,,,,,,,,,
text = ...,,,,,,,,,,,,,
1,...,...,X,,,0,root,,,,,,
,,,,,,,,,,,,,
text = kupa ca khanapita pratibh[o]gaye paśu-manuśanaṃ,,,,,,,,,,,,,
1,kupa,kupa,NOUN,,Case=Nom|Gender=Masc|Number=Plur,3,obj,,,,,,
2,ca,ca,CCONJ,,,1,cc,,,,,,
3,khanapita,khanapaya,VERB,,"Case=Nom|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Cau,Pass",0,root,,,,,,
4,pratibhogaye,pratibhoga,NOUN,,Case=Dat|Gender=Masc|Number=Sing,3,obl,,Orig=pratibh[o]gaye,,,,
5-6,paśu-manuśanaṃ,,,,,,,,,,,,
5,paśu,paśu,NOUN,,Compound=Yes|Gender=Masc,6,conj,,,,,,
6,manuśanaṃ,manuśa,NOUN,,Case=Gen|Gender=Masc|Number=Plur,4,nmod,,,,,,
