ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,GLOSS,ETYMO,CDIAL,JAMBU
text = iy[aṃ] dhaṃma-lipī Devānaṃpriyena Priyadasinā rāña lekh[ā]pitā,,,,,,,,,,,,,
1,iyaṃ,iyaṃ,DET,_,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,3,det,_,Gloss=this|Orig=iy[aṃ],this.ɴᴏᴍ.ꜰ.sɢ,iyáṃ,587,link
2-3,dhaṃma-lipī,_,_,_,_,_,_,_,_,rescript_on_morality:ɴᴏᴍ.ꜰ.sɢ,_,_,_
2,dhaṃma,dhaṃma,NOUN,_,Compound=Yes|Gender=Masc,3,compound,_,Gloss=morality,_,dʰárma-,6753,link
3,lipī,lipi,NOUN,_,Case=Nom|Gender=Fem|Number=Sing,9,obj,_,Gloss=rescript,_,lipi-,11058,link
4-5,Devānaṃpriyena,_,_,_,_,_,_,_,_,beloved_of_the_Gods:ɪɴsᴛ.ᴍ.sɢ,_,_,_
4,devānaṃ,deva,NOUN,_,Case=Gen|Gender=Masc|Number=Plur,5,nmod,_,Gloss=of-the-Gods,_,dēvá-,6523,link
5,priyena,priya,ADJ,_,Case=Inst|Gender=Masc|Number=Sing,8,nmod:desc,_,Gloss=beloved,_,priyá-,8974,link
6-7,Priyadasinā,_,_,_,_,_,_,_,_,friendly_looking:ɪɴsᴛ.ᴍ.sɢ,_,_,_
6,priya,priya,ADJ,_,Compound=Yes|Gender=Masc,7,amod,_,Gloss=friendly,_,priyá-,8974,link
7,dasinā,dasin,ADJ,_,Case=Ins|Gender=Masc|Number=Sing,8,nmod:desc,_,Gloss=looking,_,darśin-,,_
8,rāña,rājan,NOUN,_,Case=Ins|Gender=Masc|Number=Sing,9,nsubj,_,Gloss=by-king,king:ɪɴsᴛ.ᴍ.sɢ,rā́jan-,10679,link
9,lekhāpitā,lekhāpaya,VERB,_,"Case=Nom|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Cau,Pass",0,root,_,Gloss=has-been-caused-to-be-written|Orig=lekh[ā]pitā,write.ᴄᴀᴜs:ᴘᴘᴘ:ɴᴏᴍ.ꜰ.sɢ,lēkʰayati,11104,link
,,,,,,,,,,,,,
text = [i]dha na kiṃci jīvaṃ ārabhitpā prajūhitavyaṃ,,,,,,,,,,,,,
1,idha,idha,ADV,_,AdvType=Loc,6,advmod:lmod,_,Gloss=here|Orig=[i]dha,here,idʰá,1605,link
2,na,na,PART,_,Polarity=Neg,6,advmod,_,Gloss=not,ɴᴇɢ,ná,6906,link
3,kiṃci,kiṃci,DET,_,PronType=Ind,4,det,_,Gloss=any,any,kíṃcid-,3144,link
4,jīvaṃ,jīva,NOUN,_,Case=Nom|Gender=Neut|Number=Sing,5,obj,_,Gloss=living-being,living_being:ɴᴏᴍ.ɴ.sɢ,jīvá,5239,link
5,ārabhitpā,ārabha,VERB,_,VerbForm=Conv,6,advcl,_,Gloss=be-killed-and,kill:ᴄɴᴠ,ā́rabʰatē,1305,link
6,prajūhitavyaṃ,prajūha,VERB,_,Case=Nom|Gender=Neut|Number=Sing|Tense=Future|VerbForm=Part|Voice=Pass,0,root,_,Gloss=must-be-sacrificed,sacrifice.ᴏᴠᴀ:ɴᴏᴍ.ɴ.sɢ,_,_,_
,,,,,,,,,,,,,
text = na ca samājo katavyo,,,,,,,,,,,,,
1,na,na,PART,_,Polarity=Neg,4,advmod,_,Gloss=no,ɴᴇɢ,ná,6906,link
2,ca,ca,CCONJ,_,_,4,cc,_,Gloss=and,=ᴄᴏɴᴊ,ca,4533,link
3,samājo,samāja,NOUN,_,Case=Nom|Gender=Masc|Number=Sing,4,obj,_,Gloss=festival,festival_meeting:ɴᴏᴍ.ᴍ.sɢ,samāja-,13207,link
4,katavyo,karo,VERB,_,Case=Nom|Gender=Masc|Number=Sing|Tense=Future|VerbForm=Part|Voice=Pass,0,root,_,Gloss=must-be-held,do.ᴏᴠᴀ:ɴᴏᴍ.ᴍ.sɢ,kr̩tá-,2814,link
,,,,,,,,,,,,,
text = bahukaṃ hi dosaṃ samājamhi pasati Devānaṃpriyo Priyadasi rājā,,,,,,,,,,,,,
1,bahukaṃ,bahuka,DET,_,Case=Acc|Gender=Masc|Number=Sing,3,det,_,Gloss=much,much:ᴀᴄᴄ.ᴍ.sɢ,bahuka-,9187,link
2,hi,hi,PART,_,_,1,advmod:emph,_,Gloss=for,=for,hí,,_
3,dosaṃ,dosa,NOUN,_,Case=Acc|Gender=Masc|Number=Sing,5,obj,_,Gloss=evil,evil:ᴀᴄᴄ.ᴍ.sɢ,dōṣa-,6587,link
4,samājamhi,samāja,NOUN,_,Case=Loc|Gender=Masc|Number=Sing,5,obl:lmod,_,Gloss=in-festival-meetings,festival_meeting:ʟᴏᴄ.ᴍ.sɢ,samāja-,13207,link
5,pasati,pasa,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,0,root,_,Gloss=sees,see:ᴘʀs.ᴀᴄᴛ.3sɢ,páśyati ,8012,link
6-7,Devānaṃpriyo,_,_,_,,_,_,_,_,beloved_of_the_Gods:ɴᴏᴍ.ᴍ.sɢ,_,_,_
6,devānaṃ,deva,NOUN,_,Case=Gen|Gender=Masc|Number=Plur,7,nmod,_,Gloss=of-the-Gods,_,dēvá-,6523,link
7,priyo,priya,ADJ,_,Case=Nom|Gender=Masc|Number=Sing,10,nmod:desc,_,Gloss=beloved,_,priyá-,8974,link
8-9,Priyadasi,_,_,_,_,_,_,_,_,friendly_looking:ɴᴏᴍ.ᴍ.sɢ,_,_,_
8,priya ,priya,ADJ,_,Compound=Yes|Gender=Masc,9,amod,_,Gloss=friendly,_,priyá-,8974,link
9,dasi,dasin,ADJ,_,Case=Nom|Gender=Masc|Number=Sing,10,nmod:desc,_,Gloss=looking,_,darśin-,,_
10,rājā,rājan,NOUN,_,Case=Nom|Gender=Masc|Number=Sing,5,nsubj,_,Gloss=king,king:ɴᴏᴍ.ᴍ.sɢ,rā́jan-,10679,link
,,,,,,,,,,,,,
